text	label
PT em o governo	PROP PRP DET N
Gilberto=Dimenstein	PROP
Brasília=Pesquisa=Datafolha publicada hoje revela um dado supreendente	PROP V ADV V DET N ADJ
recusando uma postura radical a esmagadora maioria 77 $% de os eleitores quer o PT participando de o Governo=Fernando=Henrique=Cardoso	V DET N ADJ DET ADJ N NUM N PRP DET N V DET PROP V PRP DET PROP
Tem sentido aliás muitíssimo sentido	V V ADV DET N
Muito mais do=que em os tempos em a ditadura a solidez de o PT está agora ameaçada	ADV ADV KS PRP DET N PRP DET N DET N PRP DET PROP V ADV V
Nem Lula nem o partido ainda encontraram um discurso para se diferenciar	KC PROP KC DET N ADV V DET N PRP PERS V
Eles se dizem oposição mas ainda não informaram o que vão combater	PERS PERS V N KC ADV ADV V PERS KS V V
Muitas de as prioridades de o novo governo coincidem com as prioridades de o PT	DET PRP DET N PRP DET ADJ N V PRP DET N PRP DET PROP
Confissões chega a Portugal	N V PRP PROP
Desde o último dia 13 Confissões=de=Adolescente pode ser vista por os teens portugueses	PRP DET ADJ N NUM PROP V V V PRP DET N ADJ
A série exibida aqui por a Cultura estreou em a TVI de Portugal	DET N V ADV PRP DET N V PRP DET PROP PRP PROP
Além=disso a co-produção com o canal francês TF1 para a realização de mais 30 episódios continua sendo negociada	ADV DET N PRP DET N ADJ PROP PRP DET N PRP ADV NUM N V V V
Manchete estréia novo jornalístico	N V ADJ ADJ
Câmera=Manchete é o nome de o novo programa jornalístico que estréia quarta-feira a as 22h30 em a Rede=Manchete	PROP V DET N PRP DET ADJ N ADJ SPEC V N PRP DET NUM PRP DET PROP
Sob o comando de Ronaldo=Rosas o programa mostrará reportagens especiais de Sônia=Pompeu	PRP DET N PRP PROP DET N V N ADJ PRP PROP
A direção de o novo semanal será assinada por Ewaldo=Ruy	DET N PRP DET ADJ ADJ V V PRP PROP
Os jogadores se dividem por os dez quartos de o alojamento equipados com frigobar ar=condicionado televisão e telefone	DET N PERS V PRP DET NUM N PRP DET N V PRP N N N KC N
É uma coisa de o Primeiro=Mundo afirmou o levantador Maurício leia matéria a o lado	V DET N PRP DET PROP V DET N PROP V N PRP DET N
Além=de Maurício Carlão e Paulão a seleção deve contar hoje com Giovane	PRP PROP PROP KC PROP DET N V V ADV PRP PROP
O atacante que deveria ter se apresentado anteontem a a noite pediu mais um dia=de=folga a o treinador	DET N SPEC V V PERS V ADV PRP DET N V ADV NUM N PRP DET N
Em a volta de uma viagem a o exterior vale a pena trazer uma impressora=matricial	PRP DET N PRP DET N PRP DET N V DET N V DET N
Free shops de os aeroportos internacionais também vendem o equipamento	ADJ N PRP DET N ADJ ADV V DET N
O modelo LX=810 de a Epson é vendido em Miami por US$ 178	DET N PROP PRP DET PROP V V PRP PROP PRP PROP NUM
O preço de lista em as revendas brasileiras é de US$ 422	DET N PRP N PRP DET N ADJ V PRP PROP NUM
Esse equilíbrio era tido como pré-condição para o sucesso de o plano econômico	DET N V V PRP N PRP DET N PRP DET N ADJ
Parte de os recursos para a formação de o FSE foi deslocado de o orçamento de a saúde e educação	N PRP DET N PRP DET N PRP DET PROP V V PRP DET N PRP DET N KC N
Em a época o então ministro=da=Fazenda Fernando=Henrique=Cardoso fez um pronunciamento em=cadeia nacional para anunciar a intenção de o governo de destinar o FSE a investimentos sociais	PRP DET N DET ADJ N PROP V DET N ADJ ADJ PRP V DET N PRP DET N PRP V DET PROP PRP N ADJ
O assessor de imprensa de o Ministério=da=Fazenda Sérgio=Danese disse ontem que o ministro=da=Fazenda Rubens=Ricúpero não iria comentar o assunto porque não tinha informações suficientes	DET N PRP N PRP DET PROP PROP V ADV KS DET N PROP ADV V V DET N KS ADV V N ADJ
O projeto original de o governo destinava a o TSE=R$ 334,9 milhões	DET N ADJ PRP DET N V PRP DET PROP NUM NUM
Como não houve acordo entre governo e tribunal quanto=a o volume de recursos a dotação foi incluída em a reserva de contingência sem especificação de despesa	KS ADV V N PRP N KC N PRP DET N PRP N DET N V V PRP DET N PRP N PRP N PRP N
Posteriormente diante=de a ameaça de o tribunal de entrar com uma ação judicial o governo mandou a o Congresso uma alteração a o projeto aumentando para R$ 452,7 milhões a dotação de o TSE	ADV PRP DET N PRP DET N PRP V PRP DET N ADJ DET N V PRP DET N DET N PRP DET N V PRP N NUM NUM DET N PRP DET PROP
Essas medidas reduziram a disponibilidade de dinheiro em o sistema bancário e os grandes bancos passaram a não fornecer recursos para as pequenas instituições	DET N V DET N PRP N PRP DET N ADJ KC DET ADJ N V PRP ADV V N PRP DET ADJ N
Quebraram aquelas que estavam descasadas ou=seja que financiavam em o mercado interbancário de um dia CDI os empréstimos e carteiras de títulos estaduais e municipais com prazos longos	V DET SPEC V V ADV KS V PRP DET N ADJ PRP NUM N PROP DET N KC N PRP N ADJ KC ADJ PRP N ADJ
Telê Claro	PROP PROP
Aqui só joga quem está bem	ADV ADV V SPEC V ADV
Ninguém força sua escalação porque há quem escale o time em o São=Paulo	SPEC V DET N KS V SPEC V DET N PRP DET PROP
Ele só não jogava porque não estava bem	PERS ADV ADV V KS ADV V ADV
Folha E o=que o senhor acha de o escândalo de a arbitragem carioca	PROP KC SPEC DET N V PRP DET N PRP DET N ADJ
Telê Uma vergonha	PROP DET N
Apenas dois árbitros resolveram contar todos=os podres enquanto a federação tem mais=de 70	ADV NUM N V V DET ADJ ADV DET N V ADV NUM
O futebol precisa seguir o exemplo de a CPI de o orçamento e apresentar todos=os podres	DET N V V DET N PRP DET PROP PRP DET N KC V DET ADJ
Se eu dirigisse uma federação apresentaria balanços mensais e liberaria minhas contas bancárias	KS PERS V DET N V N ADJ KC V DET N ADJ
A Fifa e a CBF deveriam entrar de sola em esse caso e em todas=as outras federações	DET PROP KC DET PROP V V PRP N PRP DET N KC PRP DET DET N
A maioria de as empresas que produzem leite de as marcas interditadas não tinha sido comunicada ontem sobre a liberação de o produto	DET N PRP DET N SPEC V N PRP DET N V ADV V V V ADV PRP DET N PRP DET N
O presidente de a Cooper Benedito=Vieira=Pereira 49 afirmou que pretendia distribuir leite C em os postos de venda hoje	DET N PRP DET PROP PROP NUM V KS V V N N PRP DET N PRP N ADV
Prandi disse ainda que a empresa está elaborando normas factíveis de serem executadas para a solução ou minimização de os problemas existentes em o local	PROP V ADV KS DET N V V N ADJ PRP V V PRP DET N KC N PRP DET N ADJ PRP DET N
SA	PROP
O Charade vai concorrer em a faixa de o Suzuki=Swift e de o Twingo de a Renault afirma Caparelli	DET PROP V V PRP DET N PRP DET PROP KC PRP DET PROP PRP DET PROP V PROP
Herbert=Berger diretor-superintendente de a empresa diz que o Charade se aproxima de o Honda=Civic em tamanho e custa bem menos	PROP N PRP DET N V KS DET PROP PERS V PRP DET PROP PRP N KC V ADV ADV
O Applause um sedã quatro portas com motor 1.6 é o carro mais caro de a Daihatsu	DET PROP DET N NUM N PRP N NUM V DET N ADV ADJ PRP DET PROP
O top de linha custa US$ 30 mil	DET ADJ PRP N V PROP NUM NUM
A mudança de o local de jogo que deve acontecer também em a partida contra o Corinthians em o próximo dia 17 foi determinada por a CBF que não viu garantias de segurança em o estádio santista	DET N PRP DET N PRP N SPEC V V ADV PRP DET N PRP DET PROP PRP DET ADJ N NUM V V PRP DET PROP KS ADV V N PRP N PRP DET N ADJ
Em a Vila quando recebo a bola tenho que ficar olhando sua trajetória para não ser surpreendido	PRP DET N ADV V DET N V KS V V DET N PRP ADV V V
Só depois é=que levanto a cabeça para fazer um lançamento reclama Neto	ADV ADV ADV V DET N PRP V DET N V PROP
JFK A Pergunta=Que=Não=Quer=Calar=Telecine 20h30	PROP DET PROP NUM
Schwarzenegger está em o HBO	PROP V PRP DET PROP
O destaque de o HBO é o inédito Exterminador=do=Futuro 2 O Julgamento=Final em que Schwarzenegger é um robô com aparência humana que vem de o futuro para proteger um garoto	DET N PRP DET PROP V DET N PROP NUM DET PROP PRP SPEC PROP V DET N PRP N ADJ SPEC V PRP DET N PRP V DET N
Para o terceiro réu Alexandre=Cardoso 21 o Topeira o juiz determinou uma pena de 20 anos	PRP DET ADJ N PROP NUM DET PROP DET N V DET N PRP NUM N
Souza também negou a os réus o direito de apelarem de a setença em liberdade	PROP ADV V PRP DET N DET N PRP V PRP DET N PRP N
Os três estão presos desde 30 de julho de 93	DET NUM V N PRP NUM PRP N PRP NUM
A batalha de a Fifa	DET N PRP DET PROP
Sílvio=Lancellotti	PROP
Começou bem antes de o que se previa a batalha por a futura sucessão em a Fifa apenas seis meses depois de o super-acordo que em as vésperas de a Copa reconduziu o brasileiro João=Havelange a o sexto mandato consecutivo	V ADV ADV PRP DET SPEC PERS V DET N PRP DET ADJ N PRP DET PROP ADV NUM N ADV PRP DET N SPEC PRP DET N PRP DET PROP V DET N PROP PRP DET ADJ N ADJ
Por o acordo os três continentes mais obstinados em cortar o reinado de Havelange a África a Ásia e a Europa aceitaram cancelar os seus movimentos de oposição em=troca basicamente de dois compromissos	PRP DET N DET NUM N ADV ADJ PRP V DET N PRP PROP DET PROP DET PROP KC DET PROP V V DET DET N PRP N ADV ADV PRP NUM N
Havelange aceitaria engolir o italiano Antonio=Matarrese como o seu vice-executivo e além=disso esqueceria os seus modos autoritários coordenando a entidade de maneira colegiada	PROP V V DET N PROP PRP DET DET N KC ADV V DET DET N ADJ V DET N PRP N ADJ
O Ambulim foi um de os centros que contribuíram para um estudo apresentado em a 5ª Conferência=Internacional sobre Transtornos=Alimentares de 29 de abril a 1º de maio em Nova=York	DET PROP V NUM PRP DET N SPEC V PRP DET N V PRP DET ADJ PROP PRP PROP PRP NUM PRP N PRP ADJ PRP N PRP PROP
Dados sobre abuso sexual em bulímicas em o Brasil Áustria e Estados=Unidos foram centralizados por Harrison=Pope de a Escola=de=Medicina=de=Harvard	N PRP N ADJ PRP ADJ PRP DET PROP PROP KC PROP V V PRP PROP PRP DET PROP
Essa divisão gera algumas distorções terríveis	DET N V DET N ADJ
Um de os injustiçados é Alfredo=Volpi que recebe apenas um painel com cinco telas que servem para ilustrar sua evolução de figurativo a abstrato	NUM PRP DET ADJ V PROP SPEC V ADV NUM N PRP NUM N SPEC V PRP V DET N PRP ADJ PRP ADJ
Afora historicismo isso é menosprezar um fator interno a a arte brasileira que independe de contexto internacional	ADV N SPEC V V DET N ADJ PRP DET N ADJ SPEC V PRP N ADJ
Volpi foi de os mais influentes pintores de o país para=além=de a questão de a autonomia	PROP V PRP DET ADV ADJ N PRP DET N PRP DET N PRP DET N
O panorama sofre prejuízos demais em=favor=de a tese	DET N V N ADV PRP DET N
Abstratos entre medianos e medíocres como Fukushima Pérsio Raimo e Douchez têm o mesmo ou maior destaque que Volpi e nada que se possa chamar de autonomia para oferecer como lenitivo	ADJ PRP ADJ KC ADJ PRP PROP PROP PROP KC PROP V DET DET KC ADJ N KS PROP KC SPEC SPEC PERS V V PRP N PRP V PRP N
Talvez isto seja muito barulho por nada	ADV SPEC V ADV N PRP SPEC
Original	PROP
Cícero	PROP
Disse que não conseguia vislumbrar artifícios fraudulentos ou prática de peculato em o protocolo assinado por Quércia	V KS ADV V V N ADJ KC ADJ PRP N PRP DET N V PRP PROP
Afirmou que o conjunto de fatos em=princípio aponta o envolvimento de Quércia	V KS DET N PRP N ADV V DET N PRP PROP
Recebeu a denúncia	V DET N
Segundo o médico o caso não preocupa	PRP DET N DET N ADV V
Romário não se exercitou em as cobranças de falta e pênalti	PROP ADV PERS V PRP DET N PRP N KC N
Toda=a comissão técnica sabe que Romário é de treinar pouco geralmente se poupando entre dois jogos difíceis	DET N ADJ V KS PROP V PRP V ADV ADV PERS V PRP NUM N ADJ
Nem o PSB nem a coligação têm competência legal para trocar o vice de a chapa sem a concordância de Bisol que teve o nome aprovado em convenção	KC DET PROP KC DET N V N ADJ PRP V DET N PRP DET N PRP DET N PRP PROP SPEC V DET N V PRP N
Outra maneira de um partido forçar a substituição seria expulsar o candidato com=base=em seu estatuto	DET N PRP DET N V DET N V V DET N PRP DET N
Em este caso o registro de a candidatura seria cancelado por a Justiça	PRP DET N DET N PRP DET N V V PRP DET N
Uma boa parte de o público de os Stones hoje é yuppie	DET ADJ N PRP DET N PRP DET PROP ADV V N
É uma tendência dizia o lojista Nivaldo=Silva=Costenaro 34 cabeludo baterista de uma banda de blues	V DET N V DET N PROP NUM ADJ ADJ PRP DET N PRP N
Escuto=Stones desde os 13 anos de idade	PROP PRP DET NUM N PRP N
O fã de aquela época vai ser fã sempre acrescentou Costenaro	DET N PRP DET N V V N ADV V PROP
Apesar=de limitar a venda de quatro ingressos por=pessoa a Mesbla não evitava ontem que uma mesma pessoa comprasse mais de uma=vez	PRP V DET N PRP NUM N ADV DET PROP ADV V ADV KS DET DET N V ADV PRP ADV
A queda em as vendas teve reflexos em as negociações entre as confecções e as lojas	DET N PRP DET N V N PRP DET N PRP DET N KC DET N
Não está havendo cancelamento de pedidos	ADV V V N PRP N
Mas existem indústrias que estão sendo procuradas por os lojistas para postergar as entregas conta Eduardo=Costa diretor de a Abravest que reúne a indústria de vestuário	KC V N SPEC V V V PRP DET N PRP V DET N N PROP N PRP DET PROP SPEC V DET N PRP N
Seca afeta pouco a produção de grãos	ADJ ADJ ADV DET N PRP N
Da=Reportagem=Local	PROP
A seca que atingiu as áreas produtoras de grãos não deve causar grandes estragos em a safra 1994/95	DET N SPEC V DET N ADJ PRP N ADV V V ADJ N PRP DET N NUM
A primeira previsão de o IBGE Fundação=Instituto=Brasileiro=de=Geografia=e=Estatística indica queda de 0,62 $% em a área plantada em esta safra em=relação=a anterior	DET ADJ N PRP DET PROP PROP V N PRP NUM N PRP DET N V PRP DET N PRP ADJ
Pocock que publicou os resultados em o último número de a revista British=Medical=Journal de o Reino=Unido estudou a influência de o chumbo desde a gestação	PROP SPEC V DET N PRP DET ADJ N PRP DET N PROP PRP DET PROP V DET N PRP DET N PRP DET N
